"Jahr";"Trockenheit";"Sonstige Ursachen";"Schnee/Duft";"Wind/Sturm";"Insekten";"Durchschnittstemperatur";"Durchschnittsniederschlag"
2010;;0,6387;0,8431;7,7408;1,4874;7,9;838
2011;;0,6316;2,6607;1,996;1,1942;9,6;718
2012;;0,8353;0,7437;2,4414;0,8696;9,1;768
2013;;0,8702;1,1641;2,284;1,7041;8,7;781
2014;;0,8845;0,2301;2,5905;1,7523;10,3;729
2015;;0,8701;0,3117;8,3499;3,3483;9,9;688
2016;;1,1929;0,0968;1,8224;4,6678;9,6;736
2017;;1,531;0,0758;4,6544;6,0032;9,6;850
2018;;1,9638627;0,148986666;18,49688556;11,32398967;10,4;590
2019;;5,4917;2,4652;6,5821;31,7024;10,2;730
2020;3,1391;3,2635;0,2658;10,1638;43,2953;10,4;710
2021;3,9676;2,3097;0,8066;2,3249;41,0814;9,2;801
2022;3,6099;1,8251;0,2645;12,4017;26,5527;10,5;669
